autore,titolo,soggetto,editore,anno,collocazione,Lingua,ISBN,Classificazione,disponibile
De Roberto Federico,I viceré,Letteratura,Feltrinelli,2011,Lett,,,,si
Dostoiewski Fjodor,Delitto e castigo,Letteratura,Einaudi,1947,Lett,,,,si
Eco Umberto,Il nome della rosa,Letteratura,Bompiani,1980,Lett,,,,si
Eco Umberto,Il secondo diario minimo,Letteratura,Bompiani,1992,Lett,,,,si
Fitzgerald  F&Z,Lembi di paradiso,Letteratura,Mondadori,1975,Lett,,,,si
Garcia Marquez Gabriel,Cent'anni di solitudine,Letteratura,CDE,1983,Lett,,,,si
Garcia Marquez Gabriel,Cronica de una muerte anunciada,Letteratura,Amigo,1986,Lett,,,,si
Garcia Marquez Gabriel,Dell'amore e di altri demoni,Letteratura,Mondadori,1994,Lett,,,,si
Gide Andre,I sotterranei del Vaticano,Letteratura,Garzanti,1965,Lett,,,,si
Gogol Nicolai,Il cappotto,Letteratura,SE,1996,Lett,,,,si
Goldoni Carlo,La locandiera,Letteratura,Rizzoli,1998,Lett,,,,si
Haddon Mark,Lo strano caso del cane ucciso a mezzanotte,Letteratura,Einaudi,2003,Lett,,,,si
Hawthorne Nathaniel,La letttera scarlatta,Letteratura,Newton Compton,1994,Lett,,,,si
Hemingway Ernest,Il giardino dell'Eden,Letteratura,Mondadori,1987,Lett,,,,si
Hemingway Ernest,Fiesta. Il sole sorgerà ancora,Letteratura,Mondadori,1966,Lett,,,,si
Hemingway Ernest,Per chi suona la campana,Letteratura,Mondadori,1969,Lett,,,,si
Hemingway Ernest,Il vecchio e il mare,Letteratura,Repubblica,2002,Lett,,,,si
Herriot James,Creature grandi e piccole,Letteratura,Rizzoli,1982,Lett,,,,si
Hesse Hermann,Sull'amore,Letteratura,Mondadori,1988,Lett,,,,si
Hesse Hermann,Peter Camenzind,Letteratura,Mondadori,1980,Lett,,,,si
Hesse Hermann,Il pellegrinaggio in Oriente,Letteratura,Adelphi,1973,Lett,,,,si
Hesse Hermann,Leggende e fiabe,Letteratura,Mondadori,1981,Lett,,,,si
Hesse Hermann,Siddharta,Letteratura,Adelphi,1975,Lett,,,,si
Hoelderlin Friedrich,Iperione,Letteratura,Feltrinelli,2013,Lett,,,,si
Hosseini Khaled,Mille splendidi soli,Letteratura,Piemme,2007,Lett,,,,si
Hugo Victor,Notre Dame de Paris,Letteratura,Repubblica,2003,Lett,,,,si
Hugo Victor,Tutti i romanzi,Letteratura,Mursia,1966,Lett,,,,si
Kafka Franz,Lettera al padre,Letteratura,SE,1987,Lett,,,,si
Kafka Franz,La metamorfosi,Letteratura,La spiga,2002,Lett,,,,si
Kerouac Jack,On the road (lingua originale),Letteratura,Penguin,1957,Lett,,,,si
Kipling Rudyard,Kim,Letteratura,Rizzoli,1952,Lett,,,,si
Klavan Andrew,Prima di mezzanotte,Letteratura,Euroclub,1996,Lett,,,,si
